"pid","competitor","cond","mode","role","session","time","gamble_ind","gamble_lab","box","opt","outcome","ev","rt","H"
"f9203e","t8092m","p20","comp","receiver","u5e7hga3rr7grc0arln0097gg4",1575302644,1,6,NA,"H",238.035,NA,NA,1
"8no7lv","prrd4t","p20","comp","receiver","ns613jr42hk1n3ruo8ooio7uo7",1575302647,1,6,NA,"L",197.987,NA,NA,0
"29geu7","vembrq","p20","comp","chooser","lj6j8235bn7cfslpn36m33ii44",1575302655,1,6,1,"H",238.035,NA,390,1
"vembrq","29geu7","p20","comp","receiver","lj6j8235bn7cfslpn36m33ii44",1575302655,1,6,NA,"L",197.987,NA,NA,0
"autap9","t7pgs7","p20","comp","chooser","2u70cv3cq8ln581lfd9rcl4sk3",1575302673,1,6,2,"H",238.035,NA,393,1
"t7pgs7","autap9","p20","comp","receiver","2u70cv3cq8ln581lfd9rcl4sk3",1575302673,1,6,NA,"L",197.987,NA,NA,0
"f9203e","prrd4t","p20","comp","chooser","nbc2g7fcnh1tlclo1ipgkb0p55",1575302678,2,8,2,"L",248.072,NA,567,0
"8no7lv","29geu7","p20","comp","chooser","0mnalav4gp6qp8oqukgd1l8rs4",1575302681,2,8,2,"H",288.064,NA,837,1
"29geu7","8no7lv","p20","comp","receiver","0mnalav4gp6qp8oqukgd1l8rs4",1575302681,2,8,NA,"L",248.072,NA,NA,0
"vembrq","t8092m","p20","comp","receiver","u5e7hga3rr7grc0arln0097gg4",1575302682,2,8,NA,"L",248.072,NA,NA,0
"8no7lv","prrd4t","p20","comp","random","0mnalav4gp6qp8oqukgd1l8rs4",1575302699,3,5,NA,"H",212.995,NA,NA,1
"o3fe7r","","p40","solo","","alp1rni2pktfuj9tl0hlu2gda3",1575302711,1,6,2,"H",237.87,238.035,1077,1
"f9203e","t8092m","p20","comp","receiver","u5e7hga3rr7grc0arln0097gg4",1575302712,3,5,NA,"L",173.029,NA,NA,0
"8no7lv","prrd4t","p20","comp","receiver","ns613jr42hk1n3ruo8ooio7uo7",1575302726,4,2,NA,"H",77.021,NA,NA,1
"vembrq","29geu7","p20","comp","chooser","mno52d5p4k7cvie79nrokdpru7",1575302726,3,5,1,"H",212.995,NA,816,1
"29geu7","vembrq","p20","comp","receiver","mno52d5p4k7cvie79nrokdpru7",1575302726,3,5,NA,"L",173.029,NA,NA,0
"t7pgs7","autap9","p20","comp","chooser","3ddti778gvtdv3c5vf3g6arku6",1575302727,2,8,1,"H",288.064,NA,588,1
"autap9","t7pgs7","p20","comp","receiver","3ddti778gvtdv3c5vf3g6arku6",1575302727,2,8,NA,"L",248.072,NA,NA,0
"o3fe7r","","p40","solo","","alp1rni2pktfuj9tl0hlu2gda3",1575302744,2,8,1,"H",288.02,288.064,884,1
"369vj1","drd2f8","p20","comp","chooser","m5ho04kd9r3j56njc86m529ui7",1575302747,1,6,1,"H",238.035,NA,762,1
"drd2f8","369vj1","p20","comp","receiver","m5ho04kd9r3j56njc86m529ui7",1575302747,1,6,NA,"L",197.987,NA,NA,0
"vembrq","t8092m","p20","comp","receiver","u5e7hga3rr7grc0arln0097gg4",1575302747,4,2,NA,"L",36.936,NA,NA,0
"f9203e","29geu7","p20","comp","random","nbc2g7fcnh1tlclo1ipgkb0p55",1575302750,4,2,NA,"L",36.936,NA,NA,0
"29geu7","f9203e","p20","comp","random","nbc2g7fcnh1tlclo1ipgkb0p55",1575302750,4,2,NA,"H",77.021,NA,NA,1
"8no7lv","prrd4t","p20","comp","random","0mnalav4gp6qp8oqukgd1l8rs4",1575302755,5,7,NA,"L",223.003,NA,NA,0
"f9203e","t8092m","p20","comp","random","nbc2g7fcnh1tlclo1ipgkb0p55",1575302765,5,7,NA,"H",262.971,NA,NA,1
"autap9","t7pgs7","p20","comp","chooser","2u70cv3cq8ln581lfd9rcl4sk3",1575302772,3,5,2,"H",212.995,NA,459,1
"t7pgs7","autap9","p20","comp","receiver","2u70cv3cq8ln581lfd9rcl4sk3",1575302772,3,5,NA,"L",173.029,NA,NA,0
"29geu7","vembrq","p20","comp","chooser","lj6j8235bn7cfslpn36m33ii44",1575302779,5,7,2,"H",262.971,NA,312,1
"vembrq","29geu7","p20","comp","receiver","lj6j8235bn7cfslpn36m33ii44",1575302779,5,7,NA,"L",223.003,NA,NA,0
