"pid","ts_id","mode","cond","session","start","end","duration","age","sex","yearsofedu","job","income","imc1","imc2","strat_evmax","strat_maxout","strat_befirst","strat_tradeoff","qual_focused","qual_effort","bonus","pid","cond","mode","samples","H","Hexp","n_chooser","tps","best","samp_diff"
"o3fe7r",1575302400,"solo","p40","alp1rni2pktfuj9tl0hlu2gda3",1575287407,1575302934,258.783333333333,37,"male","14","employed","1k_2k","correct","correct",100,76,NA,NA,100,100,3,"o3fe7r","p40","solo",5.25,0.75,0.8,0,3.31,4,1.2
"t7pgs7",1575302400,"comp","p20","3ddti778gvtdv3c5vf3g6arku6",1575298824,1575303158,72.2333333333333,40,"male","14","selfemployed","1k_2k","correct","correct",100,100,81,0,100,78,3.9,"t7pgs7","p20","comp",3,1,0.8,5,9.16,5,-2
"f9203e",1575302400,"comp","p20","nbc2g7fcnh1tlclo1ipgkb0p55",1575302110,1575302899,13.15,29,"male","15","employed","2k_3k","correct","correct",86,95,54,5,100,89,2.2,"f9203e","p20","comp",1,0.333333333333333,NA,3,23.5,3,-2
"cqnifj",1575302400,"comp","p20","llrta58ck845heuamso770ugt6",1575301680,1575303628,32.4666666666667,24,"female","18","employed","3k_4k","correct","correct",100,100,69,0,100,100,3.3,"cqnifj","p20","comp",4.75,0.25,1,4,14.11,3,1.8
"4056nv",1575302400,"comp","p20","ertp8btib6snk47jqatjvn9c15",1575300727,1575303536,46.8166666666667,35,"female","16","employed","1k_2k","correct","correct",100,100,100,80,100,100,3.4,"4056nv","p20","comp",4,0.6,0.6,5,13.82,3,1
"369vj1",1575302400,"comp","p20","m5ho04kd9r3j56njc86m529ui7",1575301150,1575303281,35.5166666666667,48,"female","15","employed","4k_5k","correct","correct",100,100,100,0,100,100,2.9,"369vj1","p20","comp",8.25,0.5,1,4,9.62,4,4.2
"vembrq",1575302400,"comp","p20","mno52d5p4k7cvie79nrokdpru7",1575301623,1575302973,22.5,50,"male","26","employed","5k_x","correct","correct",100,100,36,0,100,100,3.4,"vembrq","p20","comp",3,1,1,2,10.05,4,-1
"8no7lv",1575302400,"comp","p20","0mnalav4gp6qp8oqukgd1l8rs4",1575301795,1575302992,19.95,32,"female","16","employed","2k_3k","correct","correct",84,85,25,16,100,100,3,"8no7lv","p20","comp",1,1,NA,1,18.55,3,-2
"8vpiv9",1575302400,"comp","p20","ob7jqdnkak6ilsivgsv11nr393",1575301960,1575303127,19.45,38,"male","17","employed","1k_2k","correct","correct",62,64,94,1,100,100,1.3,"8vpiv9","p20","comp",1,0.6,NA,5,37.86,1,0
"29geu7",1575302400,"comp","p20","lj6j8235bn7cfslpn36m33ii44",1575302078,1575302946,14.4666666666667,31,"male","23","employed","1k_2k","correct","correct",78,58,88,57,100,87,2.7,"29geu7","p20","comp",3.33333333333333,1,1,3,10.32,4,-0.7
