"pid","cond","mode","session","time","gamble_ind","gamble_lab","sample_ind","sample_box","sample_opt","sample_out","sample_rt"
"f9203e","p20","comp","nbc2g7fcnh1tlclo1ipgkb0p55",1575302646,1,6,1,1,"L",0.3,10448
"8no7lv","p20","comp","0mnalav4gp6qp8oqukgd1l8rs4",1575302647,1,6,1,1,"L",0.3,7416
"8no7lv","p20","comp","0mnalav4gp6qp8oqukgd1l8rs4",1575302647,1,6,2,2,"H",2.4,9468
"29geu7","p20","comp","lj6j8235bn7cfslpn36m33ii44",1575302651,1,6,1,2,"L",2.39,4864
"29geu7","p20","comp","lj6j8235bn7cfslpn36m33ii44",1575302651,1,6,2,2,"L",2.4,3032
"29geu7","p20","comp","lj6j8235bn7cfslpn36m33ii44",1575302651,1,6,3,2,"L",0.32,5200
"29geu7","p20","comp","lj6j8235bn7cfslpn36m33ii44",1575302651,1,6,4,1,"H",2.4,3848
"29geu7","p20","comp","lj6j8235bn7cfslpn36m33ii44",1575302651,1,6,5,1,"H",2.38,2480
"vembrq","p20","comp","mno52d5p4k7cvie79nrokdpru7",1575302657,1,6,1,1,"H",2.38,4957
"vembrq","p20","comp","mno52d5p4k7cvie79nrokdpru7",1575302657,1,6,2,2,"L",2.4,3283
"vembrq","p20","comp","mno52d5p4k7cvie79nrokdpru7",1575302657,1,6,3,1,"H",2.39,4071
"vembrq","p20","comp","mno52d5p4k7cvie79nrokdpru7",1575302657,1,6,4,2,"L",2.39,4267
"vembrq","p20","comp","mno52d5p4k7cvie79nrokdpru7",1575302657,1,6,5,1,"H",2.4,8670
"autap9","p20","comp","2u70cv3cq8ln581lfd9rcl4sk3",1575302665,1,6,1,1,"L",2.39,5302
"autap9","p20","comp","2u70cv3cq8ln581lfd9rcl4sk3",1575302665,1,6,2,2,"H",2.38,4195
"autap9","p20","comp","2u70cv3cq8ln581lfd9rcl4sk3",1575302665,1,6,3,1,"L",0.31,4531
"autap9","p20","comp","2u70cv3cq8ln581lfd9rcl4sk3",1575302665,1,6,4,2,"H",2.37,5422
"autap9","p20","comp","2u70cv3cq8ln581lfd9rcl4sk3",1575302665,1,6,5,2,"H",2.39,4842
"autap9","p20","comp","2u70cv3cq8ln581lfd9rcl4sk3",1575302665,1,6,6,2,"H",2.37,5184
"autap9","p20","comp","2u70cv3cq8ln581lfd9rcl4sk3",1575302665,1,6,7,2,"H",2.38,2220
