"1H","2H","3H","4H","5H","6H","7H","8H","1L","2L","3L","4L","5L","6L","7L","8L"
27,35,45,54,50,60,70,80,21,31,39,52,44,54,65,75
25,35,44,52,51,60,71,80,20,27,40,49,47,56,67,75
25,35,48,54,48,60,71,80,18,29,40,50,46,53,64,75
25,35,46,56,49,59,72,80,20,29,39,48,47,55,66,74
26,35,44,55,50,59,71,82,20,29,39,49,47,55,66,76
24,34,45,54,51,60,70,80,21,29,39,50,47,55,65,74
23,34,45,55,49,60,70,79,19,30,41,49,46,57,64,75
25,35,44,55,49,59,72,80,19,28,41,49,46,55,64,76
25,36,46,53,50,60,68,81,21,30,40,50,44,54,65,76
27,35,45,57,50,59,69,80,19,30,39,50,42,54,63,76
26,35,46,56,51,59,70,81,20,28,42,51,45,55,66,77
23,35,45,55,49,59,71,80,19,30,41,48,45,55,64,75
25,36,47,56,49,59,72,81,19,33,40,51,46,54,65,74
27,35,44,54,51,60,70,78,21,30,40,49,45,56,65,74
24,34,45,55,51,61,70,78,20,27,40,49,45,56,65,76
24,38,44,55,50,60,70,79,20,30,39,50,46,55,65,72
25,34,45,56,49,58,71,80,19,30,39,49,45,57,66,75
27,36,46,54,48,59,71,82,19,30,41,50,44,56,65,74
23,34,45,56,51,58,70,79,19,31,41,50,44,56,65,73
25,35,44,54,51,58,70,79,21,32,40,51,45,56,63,75
26,34,46,55,50,60,69,82,22,31,39,51,44,56,65,75
25,35,43,54,51,59,73,80,21,30,42,50,44,56,64,75
26,35,44,55,50,60,69,82,20,31,41,49,46,55,67,74
25,37,44,56,50,60,70,80,19,31,39,52,45,54,64,76
25,36,46,56,50,60,70,79,19,30,39,49,44,55,66,76
24,35,45,57,50,60,70,82,20,31,41,51,45,54,65,76
25,33,45,54,49,60,71,79,20,30,40,51,45,56,65,76
25,36,46,56,51,61,71,80,20,30,41,49,45,56,68,76
24,35,44,56,50,60,70,81,20,28,39,50,48,55,65,75
26,33,47,55,50,58,71,81,21,29,40,51,45,55,65,74
28,36,45,54,49,59,70,81,19,29,40,50,44,54,66,76
26,33,44,55,49,61,72,79,20,31,39,51,45,54,64,75
25,35,45,56,50,61,68,80,20,32,40,51,46,55,64,75
25,35,47,55,51,60,70,80,21,31,40,49,45,54,66,75
26,36,45,55,50,60,71,80,19,30,39,50,45,56,63,73
25,35,45,54,51,60,70,80,19,28,40,48,45,57,64,74
25,38,44,56,51,59,70,79,20,31,40,50,45,54,65,74
26,33,43,56,50,60,71,80,20,28,39,49,45,56,66,77
24,35,45,56,49,60,67,80,20,31,42,49,45,56,63,76
24,33,46,55,50,60,70,81,18,29,41,50,43,55,65,76
