"1H","2H","3H","4H","5H","6H","7H","8H","1L","2L","3L","4L","5L","6L","7L","8L"
20,29,41,50,45,57,64,77,24,36,47,56,50,60,70,80
18,30,39,49,44,54,65,74,24,35,46,56,51,59,70,81
20,29,39,50,44,54,64,75,24,37,45,55,50,62,70,79
21,27,41,50,45,55,66,75,26,34,45,58,49,59,69,82
21,29,39,52,44,55,67,75,25,35,45,55,50,60,70,81
20,29,39,49,45,55,65,76,24,35,46,57,51,59,70,79
18,30,42,48,44,54,65,75,24,36,45,55,50,60,70,82
20,30,40,50,45,56,65,74,26,36,45,54,51,61,70,79
20,29,39,50,44,56,65,76,26,36,45,55,51,60,72,80
20,29,39,49,45,55,65,76,25,33,43,55,50,60,71,79
19,31,39,51,45,56,65,74,26,36,46,55,51,59,69,81
21,29,38,51,45,55,66,76,24,34,45,54,50,61,70,80
19,31,42,49,46,55,65,76,25,36,44,54,51,60,69,81
20,30,41,50,46,56,65,75,26,35,45,57,51,59,70,79
20,31,41,52,46,55,65,76,26,34,45,58,51,60,70,80
21,29,40,48,43,56,66,76,25,35,47,55,51,60,70,80
20,29,41,50,44,55,65,75,24,35,48,55,50,61,69,78
21,30,40,50,45,56,66,77,25,36,44,56,52,60,70,81
20,30,41,48,43,54,66,75,26,33,46,54,50,61,71,80
20,30,40,50,45,56,66,75,26,36,44,56,50,60,70,79
21,30,39,51,45,55,66,76,26,35,44,55,51,61,71,79
18,29,39,49,45,54,64,75,24,34,46,56,52,59,71,81
20,29,40,48,44,54,63,76,24,36,45,55,51,61,71,82
19,29,39,48,46,54,67,73,25,37,46,54,51,59,70,80
17,30,41,49,46,55,65,74,25,36,47,57,49,60,69,80
20,29,39,49,46,56,64,74,24,34,46,55,50,61,70,79
19,29,40,48,44,55,64,75,24,36,45,53,50,61,70,80
20,30,39,52,45,55,64,75,25,35,45,55,51,59,69,80
19,30,41,49,45,57,65,77,25,34,45,56,51,59,70,79
21,29,40,50,43,55,65,76,26,35,45,58,51,61,71,79
20,30,40,48,43,54,64,76,25,34,44,54,50,61,71,79
18,31,39,48,45,55,65,76,25,36,46,56,49,59,70,80
22,31,40,50,45,55,65,75,26,36,46,56,50,60,69,80
19,31,40,50,44,53,64,74,25,35,47,57,50,60,71,81
19,29,40,50,44,54,65,73,26,37,46,56,49,60,71,80
21,30,41,50,46,57,67,75,26,36,46,55,50,60,72,79
19,31,41,50,45,54,64,76,26,34,45,57,49,60,71,81
21,29,42,50,45,55,65,74,25,34,45,54,49,60,69,80
20,32,40,49,44,54,63,74,25,36,47,55,51,60,69,81
20,29,40,50,45,55,64,76,24,35,46,55,52,61,71,80
20,29,40,48,44,55,65,76,26,35,46,56,49,62,71,81
21,29,40,51,46,55,65,73,26,34,44,53,49,58,71,79
19,29,39,50,46,54,65,74,24,34,45,55,51,60,70,79
20,28,40,51,45,54,66,74,25,34,46,56,48,60,71,80
20,31,41,49,44,56,64,74,25,34,44,54,51,60,70,81
21,27,40,51,46,55,65,74,26,36,47,55,50,58,70,80
20,31,39,50,45,54,65,75,27,36,46,56,50,60,70,80
21,30,41,51,44,55,65,76,26,34,44,55,51,60,69,80
21,29,40,49,46,55,64,77,23,34,46,56,49,61,68,78
19,31,40,50,46,54,65,76,26,34,45,55,51,60,71,80
19,31,39,53,44,55,65,74,27,34,47,54,50,60,72,81
22,30,40,51,44,54,64,73,24,34,45,54,49,60,70,80
21,28,40,51,45,54,66,76,26,36,45,55,51,59,70,80
20,31,39,50,47,54,66,75,25,35,45,56,51,59,69,79
21,29,41,52,44,55,66,76,26,35,45,56,52,59,70,80
21,32,40,51,45,53,65,74,23,34,44,57,49,61,69,80
20,31,39,50,46,54,66,75,25,35,45,55,50,61,70,81
21,31,41,51,46,57,65,76,25,35,44,55,51,60,71,79
21,31,39,48,44,57,64,74,25,37,45,55,50,58,71,80
19,32,39,49,46,55,67,75,24,36,45,55,50,60,68,79
21,29,39,48,45,56,68,75,24,35,46,57,49,60,69,79
19,29,39,51,47,58,64,77,26,35,47,55,51,62,70,79
20,30,41,51,46,55,67,74,25,35,44,54,49,62,70,81
20,31,41,50,46,54,65,76,25,36,45,55,52,61,70,80
19,30,38,51,46,54,64,74,24,35,47,55,51,60,69,82
19,32,39,49,44,53,64,76,26,37,45,55,49,59,69,80
20,32,39,49,45,55,65,74,26,36,45,55,49,61,70,80
21,31,41,50,43,55,64,75,25,35,45,56,49,58,69,81
20,31,41,49,45,54,64,75,24,34,44,55,51,63,69,80
19,32,40,48,44,56,66,75,25,37,45,55,50,59,70,80
19,29,41,51,45,56,65,75,24,34,46,53,48,59,68,80
22,30,40,50,46,56,63,75,25,35,44,56,50,60,71,77
20,30,42,51,46,53,66,76,26,35,45,54,50,62,70,80
19,31,39,51,46,56,65,75,26,35,44,54,49,60,68,79
20,29,38,49,44,54,64,75,27,35,47,55,51,59,68,79
20,29,39,50,45,54,65,74,25,35,46,55,50,61,70,80
22,31,40,49,45,55,66,76,25,36,45,55,49,58,69,80
19,30,41,49,44,55,64,75,26,34,42,57,50,60,69,81
20,30,38,51,45,55,64,76,25,35,46,55,50,59,70,77
21,30,38,50,46,54,66,76,25,36,45,55,49,58,71,80
65,74,84,97,64,76,87,94,4,15,27,35,5,16,23,35
66,77,85,94,65,75,84,95,6,15,25,34,2,14,23,35
65,75,84,96,64,74,84,96,5,15,25,35,5,14,25,35
65,76,84,94,67,74,84,93,4,17,25,35,4,14,23,34
66,74,85,96,65,76,86,94,4,16,24,35,5,14,25,34
66,73,86,96,65,76,88,96,8,15,26,35,5,16,26,36
64,73,85,96,65,75,86,97,6,15,25,36,3,15,25,36
66,73,88,95,64,75,85,94,5,13,24,34,6,15,23,35
66,75,84,96,64,76,83,97,4,13,26,36,5,14,24,35
64,75,86,95,65,75,86,94,6,15,26,34,5,15,25,33
66,76,84,94,66,76,84,94,5,16,26,35,4,14,24,35
65,75,85,95,67,76,84,95,4,15,23,36,5,14,24,35
67,74,85,95,65,76,84,97,4,16,24,35,4,14,27,35
65,76,85,94,65,76,84,94,4,16,26,34,4,16,25,36
66,76,84,95,66,75,85,95,6,15,26,36,5,13,24,34
66,77,84,95,63,75,86,96,6,14,25,35,5,14,23,34
64,73,85,95,66,74,86,96,4,14,25,35,5,15,25,34
64,75,85,94,66,75,85,95,6,15,25,36,5,15,24,34
65,74,87,94,67,73,85,94,5,16,24,36,4,14,25,35
65,73,85,94,66,73,85,96,5,16,25,37,5,15,23,35
